"","m","nu","lambda","alpha","theoretical_var","envelope_1","envelope_3","envelope_4","envelope_5","diff_1","diff_3","diff_4","diff_5"
"55",5.33333333333333,0.555555555555555,-5,0.1,0.00130970757224938,0.00104049239438648,0.00103450559866132,0.00103084807538473,0.00130838229303438,-0.0002692151778629,-0.00027520197358806,-0.00027885949686465,-1.32527921500002e-06
"56",6.26666666666667,0.555555555555555,-5,0.1,0.00105186900371967,0.000856599860793678,0.000876133907753923,0.000877310558138267,0.0010807847450936,-0.000195269142925992,-0.000175735095965747,-0.000174558445581403,2.89157413739301e-05
"57",7.2,0.555555555555555,-5,0.1,0.000878953769233145,0.000743197189941694,0.000755164560599551,0.000735127917307961,0.000884130271945467,-0.000135756579291451,-0.000123789208633594,-0.000143825851925184,5.17650271232204e-06
"58",8.13333333333333,0.555555555555555,-5,0.1,0.000754911849257058,0.000656583220271224,0.000661986948310948,0.000643066050191871,0.000750835583686081,-9.83286289858341e-05,-9.292490094611e-05,-0.000111845799065187,-4.07626557097709e-06
"59",9.06666666666667,0.555555555555555,-5,0.1,0.00066157651139795,0.000589502440027004,0.000593919827847829,0.000583056802393498,0.000660592945332086,-7.2074071370946e-05,-6.76566835501211e-05,-7.8519709004452e-05,-9.8356606586397e-07
"60",10,0.555555555555555,-5,0.1,0.000588795646287779,0.000534910496082663,0.000533658672433915,0.000521279301040028,0.000591391731362134,-5.3885150205116e-05,-5.5136973853864e-05,-6.7516345247751e-05,2.596085074355e-06
"61",1.6,1.66666666666667,-5,0.1,0.146450617283951,0.0056698046727182,0.00570126229472411,0.00552904651133604,0.0635504167956276,-0.140780812611233,-0.140749354989227,-0.140921570772615,-0.0829002004883234
"62",2.53333333333333,1.66666666666667,-5,0.1,0.00626791267760229,0.00271072622936456,0.00271359250938355,0.00273505383995439,0.00623805966778579,-0.00355718644823773,-0.00355432016821874,-0.0035328588376479,-2.98530098164999e-05
"63",3.46666666666667,1.66666666666667,-5,0.1,0.00283254509663122,0.0017647894678258,0.0017927252107733,0.00180986788176877,0.00285721900552267,-0.00106775562880542,-0.00103981988585792,-0.00102267721486245,2.46739088914497e-05
"64",4.4,1.66666666666667,-5,0.1,0.00182771215315065,0.00131908154060327,0.00133924746737783,0.00130968006290097,0.00179706573023411,-0.00050863061254738,-0.00048846468577282,-0.00051803209024968,-3.064642291654e-05
"65",5.33333333333333,1.66666666666667,-5,0.1,0.00135258554154875,0.00106355670683577,0.00106605555930829,0.00106260747383429,0.00132462547815127,-0.00028902883471298,-0.00028652998224046,-0.00028997806771446,-2.796006339748e-05
"66",6.26666666666667,1.66666666666667,-5,0.1,0.00107521264186863,0.000890867322741568,0.00088367460906453,0.000894923869100431,0.00104621085550804,-0.000184345319127062,-0.0001915380328041,-0.000180288772768199,-2.900178636059e-05
"67",7.2,1.66666666666667,-5,0.1,0.000893040063449177,0.000750554966181109,0.000765960468402285,0.000751926301027006,0.000855445458594622,-0.000142485097268068,-0.000127079595046892,-0.000141113762422171,-3.75946048545551e-05
"68",8.13333333333333,1.66666666666667,-5,0.1,0.000764055889544675,0.000657337079333397,0.000673605765389958,0.000663061651927075,0.000735524590115921,-0.000106718810211278,-9.04501241547171e-05,-0.0001009942376176,-2.85312994287541e-05
"69",9.06666666666667,1.66666666666667,-5,0.1,0.000667844990246749,0.000583382985243902,0.000599687833772124,0.000584749242222879,0.000671419095041761,-8.4462005002847e-05,-6.81571564746249e-05,-8.309574802387e-05,3.57410479501197e-06
"70",10,1.66666666666667,-5,0.1,0.000593278463648834,0.000528253465817843,0.000538998911787092,0.000528872933196917,0.000589942918467426,-6.5024997830991e-05,-5.4279551861742e-05,-6.4405530451917e-05,-3.33554518140797e-06
"71",1.6,2.77777777777778,-5,0.1,0.317918381344307,0.00788435441306292,0.00763145815854511,0.00792065162783536,0.126360849161375,-0.310034026931244,-0.310286923185762,-0.309997729716472,-0.191557532182932
"72",2.53333333333333,2.77777777777778,-5,0.1,0.00880871801126086,0.00321380749755834,0.00313954449814537,0.00323924083696699,0.00802963928127517,-0.00559491051370252,-0.00566917351311549,-0.00556947717429387,-0.000779078729985691
"73",3.46666666666667,2.77777777777778,-5,0.1,0.00334840681267617,0.00194902163660818,0.00196455915586761,0.00195511076547265,0.00363115761491651,-0.00139938517606799,-0.00138384765680856,-0.00139329604720352,0.00028275080224034
"74",4.4,2.77777777777778,-5,0.1,0.00201184410357938,0.00139260448630642,0.00142906324057434,0.00140632929408447,0.00206418869820566,-0.00061923961727296,-0.00058278086300504,-0.00060551480949491,5.23445946262802e-05
"75",5.33333333333333,2.77777777777778,-5,0.1,0.0014383414801475,0.00109680843253465,0.00112385090218087,0.00112402832716525,0.00143076108676723,-0.00034153304761285,-0.00031449057796663,-0.00031431315298225,-7.58039338027007e-06
"76",6.26666666666667,2.77777777777778,-5,0.1,0.00112189991816654,0.000907529758487761,0.000917008182821566,0.000898061646721459,0.00123567616167607,-0.000214370159678779,-0.000204891735344974,-0.000223838271445081,0.00011377624350953
"77",7.2,2.77777777777778,-5,0.1,0.000921212651881242,0.000771362122039996,0.000782836645019728,0.000774493612657852,0.000953625440621039,-0.000149850529841246,-0.000138376006861514,-0.00014671903922339,3.2412788739797e-05
"78",8.13333333333333,2.77777777777778,-5,0.1,0.00078234397011991,0.000661459519683721,0.000682843905779721,0.000692345069931273,0.000810769222960878,-0.000120884450436189,-9.9500064340189e-05,-8.99989001886369e-05,2.8425252840968e-05
"79",9.06666666666667,2.77777777777778,-5,0.1,0.000680381947944345,0.000588639551807629,0.000607219139112906,0.000602540940024128,0.000674245928655156,-9.1742396136716e-05,-7.3162808831439e-05,-7.78410079202169e-05,-6.13601928918896e-06
"80",10,2.77777777777778,-5,0.1,0.000602244098370944,0.000530300337231833,0.000542685834715647,0.000544688975328859,0.000577500327942074,-7.1943761139111e-05,-5.95582636552971e-05,-5.7555123042085e-05,-2.474377042887e-05
"81",1.6,3.88888888888889,-5,0.1,0.575120027434842,0.0108849988286601,0.0108500421359433,0.0107448902942048,0.5928716570163,-0.564235028606182,-0.564269985298899,-0.564375137140637,0.0177516295814579
"82",2.53333333333333,3.88888888888889,-5,0.1,0.0126199260117487,0.003909685205218,0.00377808246496871,0.00387974784464014,0.0101170903543761,-0.0087102408065307,-0.00884184354677999,-0.00874017816710856,-0.0025028356573726
"83",3.46666666666667,3.88888888888889,-5,0.1,0.00412219938674359,0.00220450653488847,0.00220103497810354,0.0021901484396005,0.00453881995425069,-0.00191769285185512,-0.00192116440864005,-0.00193205094714309,0.0004166205675071
"84",4.4,3.88888888888889,-5,0.1,0.00228804202922248,0.00149395275421325,0.00154824118001971,0.00152194290430286,0.00251578323504838,-0.00079408927500923,-0.00073980084920277,-0.00076609912491962,0.0002277412058259
"85",5.33333333333333,3.88888888888889,-5,0.1,0.00156697538804562,0.00114957700401231,0.0011841482279915,0.0011887397907629,0.00159978549690271,-0.00041739838403331,-0.00038282716005412,-0.00037823559728272,3.28101088570901e-05
"86",6.26666666666667,3.88888888888889,-5,0.1,0.00119193083261342,0.000932094084908768,0.000963768013570427,0.000964588011398641,0.00115988818345443,-0.000259836747704652,-0.000228162819042993,-0.000227342821214779,-3.20426491589899e-05
"87",7.2,3.88888888888889,-5,0.1,0.000963471534529339,0.000790696217876293,0.000805436988228815,0.000812090225980904,0.000942128008395735,-0.000172775316653046,-0.000158034546300524,-0.000151381308548435,-2.1343526133604e-05
"88",8.13333333333333,3.88888888888889,-5,0.1,0.000809776090982762,0.000683719238027765,0.000696793385141702,0.000696631009006976,0.000808131045523899,-0.000126056852954997,-0.00011298270584106,-0.000113145081975786,-1.64504545886301e-06
"89",9.06666666666667,3.88888888888889,-5,0.1,0.00069918738449074,0.000596009418341887,0.000617802675163855,0.000630309689078494,0.000690866647430895,-0.000103177966148853,-8.1384709326885e-05,-6.8877695412246e-05,-8.32073705984504e-06
"90",10,3.88888888888889,-5,0.1,0.00061569255045411,0.000533118259913168,0.000555222857013557,0.000558608402767684,0.000619364342211653,-8.2574290540942e-05,-6.0469693440553e-05,-5.70841476864259e-05,3.671791757543e-06
"91",1.6,5,-5,0.1,0.918055555555555,0.01519804516894,0.01584273671738,0.0152886248940951,0.397620613809452,-0.902857510386615,-0.902212818838175,-0.90276693066146,-0.520434941746103
"92",2.53333333333333,5,-5,0.1,0.0177015366790658,0.00477777459115936,0.00461300270963412,0.00490416779259082,0.0154516094969846,-0.0129237620879064,-0.0130885339694317,-0.012797368886475,-0.0022499271820812
"93",3.46666666666667,5,-5,0.1,0.00515392281883349,0.00256470912006546,0.00253806326344611,0.00248992975842471,0.00432133702581526,-0.00258921369876803,-0.00261585955538738,-0.00266399306040878,-0.000832585793018229
"94",4.4,5,-5,0.1,0.00265630593007994,0.00170106643023886,0.00169247177896439,0.00171081346040033,0.0025123677417101,-0.00095523949984108,-0.00096383415111555,-0.00094549246967961,-0.00014393818836984
"95",5.33333333333333,5,-5,0.1,0.00173848726524312,0.0012226866574345,0.00126985196363706,0.00124675922859351,0.00223784335110677,-0.00051580060780862,-0.00046863530160606,-0.00049172803664961,0.00049935608586365
"96",6.26666666666667,5,-5,0.1,0.00128530538520925,0.000975728573230599,0.0010217562885998,0.000979329932822691,0.0018209369341031,-0.000309576811978651,-0.00026354909660945,-0.000305975452386559,0.00053563154889385
"97",7.2,5,-5,0.1,0.00101981671139347,0.000823697260189528,0.000848625955116644,0.000834220999201311,0.000945665163368263,-0.000196119451203942,-0.000171190756276826,-0.000185595712192159,-7.4151548025207e-05
"98",8.13333333333333,5,-5,0.1,0.000846352252133232,0.000711380601872598,0.000718070006079912,0.000702256064162017,0.000789644689205921,-0.000134971650260634,-0.00012828224605332,-0.000144096187971215,-5.6707562927311e-05
"99",9.06666666666667,5,-5,0.1,0.000724261299885934,0.000616687508517373,0.000629874545067743,0.000622326488089722,0.000614889244609075,-0.000107573791368561,-9.4386754818191e-05,-0.000101934811796212,-0.000109372055276859
"100",10,5,-5,0.1,0.00063362381989833,0.000542391464069712,0.000562868225252129,0.000558292261872423,0.000420946656110562,-9.1232355828618e-05,-7.0755594646201e-05,-7.5331558025907e-05,-0.000212677163787768
"101",1.6,-5,-3.88888888888889,0.1,0.918055555555555,0.0162905420441883,0.0177590167024191,0.0146969797370106,0.237829145173739,-0.901765013511367,-0.900296538853136,-0.903358575818544,-0.680226410381816
"102",2.53333333333333,-5,-3.88888888888889,0.1,0.0177015366790658,0.00492998835485137,0.00482539262128844,0.00465736279486651,0.0160269725846649,-0.0127715483242144,-0.0128761440577774,-0.0130441738841993,-0.0016745640944009
"103",3.46666666666667,-5,-3.88888888888889,0.1,0.00515392281883349,0.00258097420731555,0.00254868832411353,0.00249718930770263,0.00566164198537046,-0.00257294861151794,-0.00260523449471996,-0.00265673351113086,0.00050771916653697
"104",4.4,-5,-3.88888888888889,0.1,0.00265630593007994,0.00171709286983097,0.00168155719866038,0.00168585099439231,0.00324442291286754,-0.00093921306024897,-0.00097474873141956,-0.00097045493568763,0.0005881169827876
"105",5.33333333333333,-5,-3.88888888888889,0.1,0.00173848726524312,0.00128110620466354,0.00124914020953598,0.00125757144683898,0.00180558786675044,-0.00045738106057958,-0.00048934705570714,-0.00048091581840414,6.71006015073201e-05
"106",6.26666666666667,-5,-3.88888888888889,0.1,0.00128530538520925,0.00100429537243157,0.0010051341034425,0.00101447147400473,0.00115722066683972,-0.00028101001277768,-0.00028017128176675,-0.00027083391120452,-0.00012808471836953
"107",7.2,-5,-3.88888888888889,0.1,0.00101981671139347,0.000836912696026732,0.000844895842079459,0.000834231086676965,0.00139870910272968,-0.000182904015366738,-0.000174920869314011,-0.000185585624716505,0.00037889239133621
"108",8.13333333333333,-5,-3.88888888888889,0.1,0.000846352252133232,0.00071281587056596,0.000719727862310321,0.000705936529552483,0.000870847499947809,-0.000133536381567272,-0.000126624389822911,-0.000140415722580749,2.44952478145769e-05
"109",9.06666666666667,-5,-3.88888888888889,0.1,0.000724261299885934,0.000621680197818504,0.000628673930689122,0.000631479383402424,0.000684374761047575,-0.00010258110206743,-9.55873691968121e-05,-9.27819164835101e-05,-3.98865388383591e-05
"110",10,-5,-3.88888888888889,0.1,0.00063362381989833,0.000559747130519472,0.000558311168581663,0.000559517002792474,0.000692771142526632,-7.3876689378858e-05,-7.53126513166671e-05,-7.41068171058561e-05,5.9147322628302e-05
"111",1.6,-3.88888888888889,-3.88888888888889,0.1,0.575120027434842,0.0119239770888446,0.0127375828935591,0.0118658634796065,0.248424457655165,-0.563196050345997,-0.562382444541283,-0.563254163955236,-0.326695569779677
"112",2.53333333333333,-3.88888888888889,-3.88888888888889,0.1,0.0126199260117487,0.0039552659646147,0.00392630728238525,0.0037819103199646,0.0125893845271846,-0.008664660047134,-0.00869361872936345,-0.0088380156917841,-3.05414845640992e-05
"113",3.46666666666667,-3.88888888888889,-3.88888888888889,0.1,0.00412219938674359,0.00227211190142068,0.00219905637086649,0.00213691813579898,0.00416796016852068,-0.00185008748532291,-0.0019231430158771,-0.00198528125094461,4.57607817770898e-05
