"m","nu","lambda","alpha","theoretical_mean","theoretical_var","envelop_1_empirical_mean","envelop_1_empirical_var","envelope_1_empirical_acceptance","envelop_3_empirical_mean","envelop_3_empirical_var","envelope_3_empirical_acceptance","envelop_4_empirical_mean","envelop_4_empirical_var","envelope_4_empirical_acceptance","envelop_5_empirical_mean","envelop_5_empirical_var","envelope_5_empirical_acceptance"
1.6,-2.77777777777778,-5,0.1,-4.76851851851852,0.317918381344307,-4.91255990418105,0.00827795361216591,0.3252,-4.91371445628055,0.00808745604343989,0.35347,-4.91397875385501,0.00740985621871523,0.11625,-4.77112005223327,0.127038326969134,0.05339
2.53333333333333,-2.77777777777778,-5,0.1,-4.90942028985507,0.00880871801126085,-4.94515401876255,0.0032014773627962,0.29965,-4.94529902111026,0.00324951756777388,0.40257,-4.94502654500027,0.00326715741814191,0.20258,-4.90971885491307,0.00831655259801938,0.03136
3.46666666666667,-2.77777777777778,-5,0.1,-4.94369369369369,0.00334840681267617,-4.95974297490169,0.0019983235041901,0.27221,-4.9602207459823,0.00194865047192825,0.39322,-4.95986465497901,0.00192190254655194,0.22537,-4.94416386519751,0.0032090335856821,0.0246
4.4,-2.77777777777778,-5,0.1,-4.95915032679739,0.00201184410357938,-4.96835507736328,0.00141920180178231,0.24905,-4.96854401934779,0.00142313353101577,0.373,-4.96890953417688,0.00141551045928517,0.22578,-4.95821986663195,0.00214198177326842,0.02109
5.33333333333333,-2.77777777777778,-5,0.1,-4.96794871794872,0.0014383414801475,-4.97388709447071,0.00110849479315251,0.22997,-4.97388269644348,0.00112362080623982,0.35187,-4.97399240011463,0.00110765587563027,0.21441,-4.96849986659194,0.00145734578780209,0.01927
6.26666666666667,-2.77777777777778,-5,0.1,-4.97362869198312,0.00112189991816654,-4.9779095324781,0.000906770305741416,0.21439,-4.97784731501181,0.000925184039346746,0.33088,-4.97751764102769,0.00090208916697596,0.20467,-4.97358951773616,0.0011719329897582,0.01766
7.2,-2.77777777777778,-5,0.1,-4.97759856630824,0.000921212651881242,-4.98068793969419,0.000768935932899487,0.20205,-4.98082166692915,0.000775167002708672,0.3129,-4.98081851050086,0.000772263078245683,0.19344,-4.97688760446613,0.000868778162143575,0.01741
8.13333333333333,-2.77777777777778,-5,0.1,-4.98052959501558,0.00078234397011991,-4.98285641204478,0.000671160377168086,0.19042,-4.98306138434038,0.0006784996332409,0.29777,-4.98289501214465,0.00067250102248538,0.18386,-4.98070144667328,0.000765137427868194,0.01672
9.06666666666667,-2.77777777777778,-5,0.1,-4.98278236914601,0.000680381947944345,-4.98466705765828,0.000597140051715804,0.18143,-4.98486665515933,0.000601043881002808,0.28373,-4.98490662321945,0.000594172809303396,0.17888,-4.98257458238703,0.000704815410896835,0.01641
10,-2.77777777777778,-5,0.1,-4.98456790123457,0.000602244098370944,-4.98616271173691,0.00053357862966066,0.17294,-4.98629290838729,0.000541123213060894,0.27148,-4.98621109097896,0.000536306178645993,0.17085,-4.98532314216297,0.000621880251891422,0.01569
1.6,-1.66666666666667,-5,0.1,-4.86111111111111,0.14645061728395,-4.94736010002839,0.00620441876620579,0.37317,-4.9481667376172,0.00581690203844613,0.49764,-4.94777738595293,0.00546177344990761,0.22449,-4.86214907156852,0.0673935369364979,0.12872
2.53333333333333,-1.66666666666667,-5,0.1,-4.94565217391304,0.00626791267760229,-4.96701341951939,0.00275933125326006,0.32062,-4.96726249760392,0.00270791138365264,0.47521,-4.96771565623286,0.00267392918656551,0.27508,-4.94607341971219,0.00622199218976413,0.10127
3.46666666666667,-1.66666666666667,-5,0.1,-4.96621621621622,0.00283254509663122,-4.97559843096206,0.00181860519387172,0.28369,-4.97613473118887,0.00178390517044006,0.43331,-4.9760793011083,0.0017554074861392,0.26423,-4.96653155690249,0.00277142934099099,0.09208
4.4,-1.66666666666667,-5,0.1,-4.97549019607843,0.00182771215315064,-4.98082563194251,0.00133531760802928,0.25568,-4.98113594141573,0.00135279012176861,0.39803,-4.98098488528849,0.00131278285814944,0.245,-4.97499715342901,0.00183630168254277,0.08689
