"","m","nu","lambda","alpha","theoretical_mean","envelope_1","envelope_3","envelope_4","envelope_5","diff_1","diff_3","diff_4","diff_5"
"50",10,-0.555555555555555,-5,0.1,-4.99691358024691,-4.99720728787326,-4.99723527928881,-4.99731212107134,-4.99674506262533,-0.000293707626349615,-0.000321699041899492,-0.000398540824429361,0.000168517621580655
"51",1.6,0.555555555555555,-5,0.1,-5.0462962962963,-5.01760067769703,-5.01765921824325,-5.01787402854482,-5.04717213944198,0.0286956185992704,0.02863707805305,0.0284222677514805,-0.000875843145680122
"52",2.53333333333333,0.555555555555555,-5,0.1,-5.01811594202899,-5.01106893575727,-5.01100630423869,-5.01077896972607,-5.01806899901131,0.00704700627172006,0.00710963779029949,0.00733697230291952,4.69430176801566e-05
"53",3.46666666666667,0.555555555555555,-5,0.1,-5.01126126126126,-5.00825948387752,-5.00798743175548,-5.00827370858878,-5.0112278751133,0.00300177738373986,0.0032738295057797,0.0029875526724803,3.33861479600017e-05
"54",4.4,0.555555555555555,-5,0.1,-5.00816993464052,-5.00663847369332,-5.00642893066128,-5.00611477419258,-5.00829268651281,0.00153146094720036,0.00174100397924004,0.00205516044793974,-0.000122751872289939
"55",5.33333333333333,0.555555555555555,-5,0.1,-5.00641025641026,-5.00545744043524,-5.00519559091642,-5.00562032905188,-5.00633687617883,0.000952815975019838,0.00121466549383964,0.000789927358379572,7.3380231429887e-05
"56",6.26666666666667,0.555555555555555,-5,0.1,-5.00527426160338,-5.00461729545114,-5.00443034738032,-5.00449307537273,-5.00552623292311,0.000656966152240201,0.000843914223059627,0.000781186230649489,-0.000251971319729982
"57",7.2,0.555555555555555,-5,0.1,-5.00448028673835,-5.00393167803024,-5.00384214652933,-5.00365431780217,-5.00450535116086,0.000548608708110798,0.000638140209020754,0.000825968936180033,-2.5064422509935e-05
"58",8.13333333333333,0.555555555555555,-5,0.1,-5.00389408099688,-5.00346512401595,-5.00340212475131,-5.00342368250516,-5.00389802004051,0.000428956980930373,0.00049195624557008,0.000470398491720481,-3.93904362994135e-06
"59",9.06666666666667,0.555555555555555,-5,0.1,-5.0034435261708,-5.00316531283022,-5.00309831235047,-5.00315179826909,-5.00368979188668,0.000278213340580535,0.000345213820329704,0.000291727901710281,-0.000246265715880156
"60",10,0.555555555555555,-5,0.1,-5.00308641975309,-5.00289183980061,-5.00278043419799,-5.00264737409787,-5.00312280804097,0.000194579952479401,0.000305985555099753,0.000439045655220127,-3.63882878806621e-05
"61",1.6,1.66666666666667,-5,0.1,-5.13888888888889,-5.05226978442426,-5.05222109083808,-5.05190695188594,-5.13912885095934,0.0866191044646305,0.0866677980508106,0.0869819370029505,-0.000239962070449629
"62",2.53333333333333,1.66666666666667,-5,0.1,-5.05434782608696,-5.03330826923264,-5.0332193056153,-5.03281858038125,-5.05444028599899,0.02103955685432,0.0211285204716596,0.0215292457057092,-9.24599120306624e-05
"63",3.46666666666667,1.66666666666667,-5,0.1,-5.03378378378378,-5.02423198230863,-5.02415434575402,-5.02393932019296,-5.03379438633716,0.00955180147514945,0.00962943802975946,0.00984446359082014,-1.06025533801457e-05
"64",4.4,1.66666666666667,-5,0.1,-5.02450980392157,-5.01929968718706,-5.01901132831812,-5.01883158306702,-5.02388945536745,0.00521011673451,0.00549847560345018,0.00567822085455028,0.000620348554120298
"65",5.33333333333333,1.66666666666667,-5,0.1,-5.01923076923077,-5.01584172807998,-5.01549662878488,-5.01600838641478,-5.01886614960334,0.00338904115078975,0.00373414044589016,0.00322238281598963,0.000364619627429619
"66",6.26666666666667,1.66666666666667,-5,0.1,-5.01582278481013,-5.01359358082017,-5.01320030680486,-5.01337006792449,-5.01581834123063,0.00222920398995985,0.00262247800526971,0.00245271688563964,4.44357949991314e-06
"67",7.2,1.66666666666667,-5,0.1,-5.01344086021505,-5.01161853903015,-5.0115868428515,-5.01145823207668,-5.01331445170499,0.00182232118490067,0.0018540173635504,0.00198262813837058,0.000126408510060294
"68",8.13333333333333,1.66666666666667,-5,0.1,-5.01168224299065,-5.01036778296186,-5.01019343327928,-5.01035831666752,-5.01136637075269,0.00131446002878999,0.00148880971137011,0.00132392632313039,0.00031587223796059
"69",9.06666666666667,1.66666666666667,-5,0.1,-5.0103305785124,-5.0093982222856,-5.00906533813235,-5.00907337881343,-5.01056114624567,0.000932356226800657,0.00126524038005016,0.00125719969897009,-0.00023056773326946
"70",10,1.66666666666667,-5,0.1,-5.00925925925926,-5.0085265355618,-5.00824463241977,-5.0080804600119,-5.0089867637625,0.000732723697460358,0.00101462683949016,0.0011787992473602,0.000272495496760783
"71",1.6,2.77777777777778,-5,0.1,-5.23148148148148,-5.08711944671248,-5.08660731495563,-5.08750646404863,-5.22666664379086,0.144362034769,0.14487416652585,0.14397501743285,0.00481483769061963
"72",2.53333333333333,2.77777777777778,-5,0.1,-5.09057971014493,-5.05535616509956,-5.05465162819048,-5.05453512107755,-5.09298370762688,0.03522354504537,0.0359280819544505,0.0360445890673802,-0.00240399748194964
"73",3.46666666666667,2.77777777777778,-5,0.1,-5.05630630630631,-5.04014852717789,-5.04002588016795,-5.04024009665189,-5.05717703442797,0.0161577791284202,0.0162804261383602,0.0160662096544204,-0.000870728121659781
"74",4.4,2.77777777777778,-5,0.1,-5.04084967320261,-5.03171836299591,-5.03153372175225,-5.03170733165429,-5.04104697142106,0.00913131020669944,0.00931595145035935,0.00914234154832005,-0.000197298218449937
"75",5.33333333333333,2.77777777777778,-5,0.1,-5.03205128205128,-5.02631981911491,-5.0259987118262,-5.02631028497356,-5.03209582605642,0.00573146293637006,0.00605257022507999,0.00574099707772024,-4.45440051395352e-05
"76",6.26666666666667,2.77777777777778,-5,0.1,-5.02637130801688,-5.02252890455158,-5.02191800815777,-5.02248484986844,-5.02528440625407,0.00384240346529996,0.0044532998591098,0.00388645814843969,0.00108690176281012
"77",7.2,2.77777777777778,-5,0.1,-5.02240143369176,-5.01967261690706,-5.01913285787251,-5.01928308940184,-5.02302463975082,0.00272881678470061,0.00326857581925033,0.00311834428991986,-0.000623206059059633
"78",8.13333333333333,2.77777777777778,-5,0.1,-5.01947040498442,-5.01734887434159,-5.01697859902764,-5.01720669955261,-5.019477766696,0.00212153064282994,0.00249180595678045,0.00226370543180998,-7.36171157988963e-06
"79",9.06666666666667,2.77777777777778,-5,0.1,-5.01721763085399,-5.01557715980935,-5.01528206128397,-5.01501028172956,-5.01821472341375,0.00164047104463982,0.00193556957002006,0.0022073491244301,-0.000997092559759771
"80",10,2.77777777777778,-5,0.1,-5.01543209876543,-5.01417418374558,-5.01381045085406,-5.01391274870829,-5.01446463265151,0.00125791501984995,0.00162164791136998,0.00151935005713977,0.000967466113920068
"81",1.6,3.88888888888889,-5,0.1,-5.32407407407407,-5.12164393389379,-5.12115290001917,-5.12180309053233,-5.32935004687478,0.20243014018028,0.2029211740549,0.20227098354174,-0.00527597280071035
