"","m","nu","lambda","alpha","envelope_1","envelope_3","envelope_4","envelope_5"
"104",4.4,-5,-3.88888888888889,0.1,0.22901,0.30778,0.16043,0.00189
"105",5.33333333333333,-5,-3.88888888888889,0.1,0.21708,0.30595,0.17097,0.00132
"106",6.26666666666667,-5,-3.88888888888889,0.1,0.206,0.29858,0.17244,0.00117
"107",7.2,-5,-3.88888888888889,0.1,0.19607,0.28831,0.17127,0.00112
"108",8.13333333333333,-5,-3.88888888888889,0.1,0.18586,0.2782,0.16655,0.00092
"109",9.06666666666667,-5,-3.88888888888889,0.1,0.17741,0.26897,0.16464,0.00077
"110",10,-5,-3.88888888888889,0.1,0.17057,0.25957,0.1596,0.00096
"111",1.6,-3.88888888888889,-3.88888888888889,0.1,0.27807,0.24648,0.06246,0.02699
"112",2.53333333333333,-3.88888888888889,-3.88888888888889,0.1,0.27347,0.32712,0.13977,0.01153
"113",3.46666666666667,-3.88888888888889,-3.88888888888889,0.1,0.25829,0.34522,0.17836,0.00749
"114",4.4,-3.88888888888889,-3.88888888888889,0.1,0.24028,0.34122,0.19067,0.00614
"115",5.33333333333333,-3.88888888888889,-3.88888888888889,0.1,0.2246,0.32953,0.1917,0.00508
"116",6.26666666666667,-3.88888888888889,-3.88888888888889,0.1,0.21085,0.31624,0.19146,0.00442
"117",7.2,-3.88888888888889,-3.88888888888889,0.1,0.19867,0.30273,0.18282,0.00387
"118",8.13333333333333,-3.88888888888889,-3.88888888888889,0.1,0.18857,0.2889,0.17765,0.00372
"119",9.06666666666667,-3.88888888888889,-3.88888888888889,0.1,0.17995,0.27707,0.16989,0.00361
"120",10,-3.88888888888889,-3.88888888888889,0.1,0.172,0.26633,0.16628,0.0033
"121",1.6,-2.77777777777778,-3.88888888888889,0.1,0.3252,0.35347,0.11422,0.05188
"122",2.53333333333333,-2.77777777777778,-3.88888888888889,0.1,0.29965,0.40257,0.20369,0.03091
"123",3.46666666666667,-2.77777777777778,-3.88888888888889,0.1,0.27221,0.39322,0.22222,0.02423
"124",4.4,-2.77777777777778,-3.88888888888889,0.1,0.24905,0.373,0.2237,0.02099
"125",5.33333333333333,-2.77777777777778,-3.88888888888889,0.1,0.22997,0.35187,0.2153,0.01876
"126",6.26666666666667,-2.77777777777778,-3.88888888888889,0.1,0.21439,0.33088,0.20486,0.01799
"127",7.2,-2.77777777777778,-3.88888888888889,0.1,0.20205,0.3129,0.19398,0.01644
"128",8.13333333333333,-2.77777777777778,-3.88888888888889,0.1,0.19042,0.29777,0.19001,0.01592
"129",9.06666666666667,-2.77777777777778,-3.88888888888889,0.1,0.18143,0.28373,0.18013,0.01618
"130",10,-2.77777777777778,-3.88888888888889,0.1,0.17294,0.27148,0.16948,0.01609
"131",1.6,-1.66666666666667,-3.88888888888889,0.1,0.37317,0.49764,0.22314,0.12687
"132",2.53333333333333,-1.66666666666667,-3.88888888888889,0.1,0.32062,0.47521,0.27582,0.10122
"133",3.46666666666667,-1.66666666666667,-3.88888888888889,0.1,0.28369,0.43331,0.26248,0.09179
"134",4.4,-1.66666666666667,-3.88888888888889,0.1,0.25568,0.39803,0.24668,0.08694
"135",5.33333333333333,-1.66666666666667,-3.88888888888889,0.1,0.23364,0.36677,0.22935,0.08509
"136",6.26666666666667,-1.66666666666667,-3.88888888888889,0.1,0.21692,0.34156,0.214,0.08355
"137",7.2,-1.66666666666667,-3.88888888888889,0.1,0.20333,0.31991,0.20028,0.08147
"138",8.13333333333333,-1.66666666666667,-3.88888888888889,0.1,0.1917,0.30228,0.19216,0.08009
"139",9.06666666666667,-1.66666666666667,-3.88888888888889,0.1,0.18202,0.28721,0.1838,0.08013
"140",10,-1.66666666666667,-3.88888888888889,0.1,0.17346,0.27453,0.17657,0.07891
"141",1.6,-0.555555555555555,-3.88888888888889,0.1,0.40697,0.62622,0.37994,0.44582
"142",2.53333333333333,-0.555555555555555,-3.88888888888889,0.1,0.33567,0.52346,0.32752,0.43496
